Castoroides
Oreoscaptor
Neomicroxus
Scotozous
Galegeeska
Loxodontomys
Paynomys
Elasmodontomys
Boromys
Brotomys
Vansonia
Pseudoromicia
Afronycteris
Orientallactaga
Lissonycteris
Simosciurus
Hadrosciurus
Guerlinguetus
Crossogale
Neopteryx
Mirostrellus
Phataginus
Smutsia
Eropeplus
Baiyankamys
Xenuromys
Papagomys
Vespadelus
Lenomys
Haeromys
Terricola
Leontocebus
Doryrhina
Parahypsugo
Paragalago
Macronycteris
Biswamoyopterus
Palawanosorex
Pantherina
Nesogale
Megalonyx
Scelidodon
Scelidotherium
Glossotherium
Glyptodon
Paramylodon
Megatherium
Parocnus
Neocnus
Acratocnus
Platacanthomys
Scarturus
Hyelaphus
Simosthenurus
Protemnodon
Elasmotherium
Xenothrix
Niumbaha
Nesiotites
Arabitragus
Tanyuromys
Castoria
Musseromys
Osphranter
Urocricetus
Chimaerodipus
Leiuromys
Alexandromys
Surdisorex
Mimetillus
Urva
Vernaya
Cassistrellus
Pectinator
Kadarsanomys
Pithecheir
Allochrocebus
Perimyotis
Haringtonhippus
Dasypterus
Aeorestes
Hypnomys
Ichthyomys
Antillomys
Lenothrix
Stephanorhinus
Platygonus
Waiomys
Cephalopachus
Mico
Notamacropus
Hyorhinomys
Soricomys
Bootherium
Gardnerycteris
Neomonachus
Megadendromus
Petrosaltator
Calassomys
Carlito
Arctotherium
Chacodelphys
Plerotes
Cheracebus
Plecturocebus
Doedicurus
Komodomys
Paraleptomys
Microhydromys
Tateomys
Sommeromys
Toromys
Felovia
Echiothrix
Submyotodon
Paratriaenops
Pennatomys
Megalomys
Podoxymys
Lavia
Santamartamys
Pattonomys
Diplomys
Salinoctomys
Cuscomys
Carterodon
Mesocapromys
Callistomys
Macrauchenia
Toxodon
Phaenomys
Mysateles
Geocapromys
Sapajus
Pachylemur
Mirimiri
Paucidentomys
Hyperacrius
Xeronycteris
Hsunycteris
Muriculus
Taeromys
Halmaheramys
Olallamys
Margaretamys
Delanymys
Cannomys
Phaiomys
Cansumys
Prolemur
Cerdocyon
Falsistrellus
Tonkinomys
Parascaptor
Scapanulus
Saxatilomys
Lamottemys
Abrawayaomys
Punomys
Galenomys
Chinchillula
Paradipus
Stenonycteris
Malpaisomys
Simias
Macrogalidia
Diplogale
Solisorex
Feroculus
Plagiodontia
Hapalomys
Urocitellus
Xerospermophilus
Poliocitellus
Ictidomys
Callospermophilus
Notocitellus
Myopterus
Styloctenium
Casinycteris
Rucervus
Przewalskium
Otospermophilus
Salpingotus
Stylodipus
Cardiocranius
Pygeretmus
Srilankamys
Rhynchomeles
Dorcatragus
Neotomys
Mindomys
Otonyctomys
Scotonycteris
Dephomys
Sauromys
Calyptophractus
Euchoreutes
Neotetracus
Drymoreomys
Eudorcas
Glauconycteris
Philantomba
Phoniscus
Philetor
Lyncodon
Huetia
Neamblysomus
Cryptochloris
Chlorotalpa
Carpitalpa
Calcochloris
Nasuella
Cuniculus
Dipodillus
Parastrellus
Cistugo
Pusa
Typhlomys
Eolagurus
Harpiola
Hylochoerus
Hyemoschus
Lemmiscus
Alionycteris
Sphaerias
Rusa
Eremoryzomys
Camelops
Myotomys
Eudiscopus
Pseudochirulus
Petropseudes
Hemibelideus
Piliocolobus
Thaptomys
Asellia
Proedromys
Neoromicia
Dermanura
Latidens
Microakodontomys
Neusticomys
Arctodus
Rhinopithecus
Transandinomys
Sooretamys
Nephelomys
Hylaeamys
Cerradomys
Hesperoptenus
Glischropus
Arielulus
Hadropithecus
Archaeolemur
Desmalopex
Euryoryzomys
Brachiones
Oreoryzomys
Nanonycteris
Vandeleuria
Melasmothrix
Chiropodomys
Chiromyscus
Abeomelomys
Makalata
Myomyscus
Neofiber
Neohylomys
Galeopterus
Eremitalpa
Chaetomys
Aegialomys
Porcula
Paruromys
Bunomys
Micaelamys
Phyllomys
Neodon
Coleura
Centronycteris
Diplomesodon
Nanger
Neovison
Lutrogale
Hydrictis
Mosia
Chlamyphorus
Hypsignathus
Myodes
Saccolaimus
Scaptochirus
Solomys
Pseudohydromys
Pogonomys
Pogonomelomys
Paramelomys
Parahydromys
Mammelomys
Mallomys
Macruromys
Lorentzimys
Leptomys
Crossomys
Coccymys
Chiruromys
Moschiola
Lycalopex
Fukomys
Dinaromys
Gerbilliscus
Glyphonycteris
Cyttarops
